Name,Website,Domain,Country,City,Niche,Employees,Revenue,Phone,Facebook,Instagram,LinkedIn,Site Health Score,Top Flaws
"Clontarf Dental Clinic","https://clontarfdental.ie","clontarfdental.ie","Ireland","Dublin","Dental Practice","1–10","$0–500K","","","","",24,"2015 WordPress site with no major updates — looks like it hasn't been touched in years | No online appointment booking — forcing patients to call during office hours only | No patient testimonials or before/after photos section | Likely not GDPR compliant — a legal risk for an Irish business | Zero social media — invisible to the 25–45 age group they need to attract"
"Bright Spark Electrical","https://brightsparkelectrical.co.uk","brightsparkelectrical.co.uk","United Kingdom","Birmingham","Electrician","1–10","$0–500K","","","","",19,"Built on IONOS/1&1 — one of the worst site builders for SEO and performance | No NICEIC or NAPIT certification badges prominently displayed — major trust signal missing | No online quote form — every lead requires a phone call | No case studies or project gallery despite being a visual trade | Site invisible on mobile — IONOS builder sites are notoriously bad on small screens"
"Reliable Auto Repair (National Automotive)","https://www.narepair.com","narepair.com","United States","Phoenix","Auto Repair","1–10","$0–500K","(602) 978-3278","https://www.facebook.com/nationalautomotiverepair/","","",22,"Old WordPress installation with potential security vulnerabilities | No real-time appointment booking — customers have to wait for a callback | Website not optimized for local 'Auto Repair Phoenix' keywords | Limited mobile responsiveness on older pages"
"GreenEdge Landscaping","https://greenedgelandscaping.ca","greenedgelandscaping.ca","Canada","Brandon","Landscaping / Garden","1–10","$0–500K","204-725-7969","https://www.facebook.com/GreenEdgeLandscaping/","","",23,"Built on Weebly — a builder that Google has essentially stopped indexing well | No seasonal page for snow removal, spring cleanup, or fall prep — all high-search keywords | No before/after project gallery — landscaping is 100% visual | No instant quote or service area check tool | No separate pages for commercial vs residential — losing B2B leads completely"
"Premier Painters London","https://premierpainterslondon.co.uk","premierpainterslondon.co.uk","United Kingdom","London","Painting & Decorating","1–10","$0–500K","","","","",31,"Using free Elementor — limited design capability, missing critical Pro features | No project portfolio or photo gallery — the main trust signal for painters | GoDaddy-hosted in the US — poor load times for UK visitors hurting rankings | No instant quote calculator or service estimator | Only 1 social profile — no Instagram which is essential for a visual trade in London"
"Pawfect Grooming Studio","https://pawfectgroomingstudio.com","pawfectgroomingstudio.com","United States","Seattle, WA","Pet Grooming","1–10","$0–500K","","","","",7,"Entire business runs on an Instagram page — zero Google discoverability | No online booking — customers must DM to get appointments | Pricing, services and availability nowhere to be found except DMs | Losing every customer who searches 'dog grooming Seattle' on Google | No cancellation policy, no business credibility signals online"
"ActiveLife Physiotherapy","https://activelifephysio.ie","activelifephysio.ie","Ireland","Cork","Physiotherapy","1–10","$0–500K","","","","",27,"2016 Divi-theme WordPress — looks and feels nearly a decade old | No online appointment booking — all bookings via phone only | No therapist bios or specialisation pages — no trust building | No blog or health content — missing all organic SEO traffic | Not GDPR compliant — required by law for Irish healthcare providers"
"QuickLock Locksmith","https://quicklocklocksmith.com","quicklocklocksmith.com","United States","Denver, CO","Locksmith","1–10","$0–500K","","","","",12,"Free Wix site with Wix branding displayed — looks completely unprofessional for an emergency service | No emergency callout number prominently displayed above the fold | No pricing structure or estimate — customers bouncing to competitors | Wix sites are heavily penalized in local search — nearly invisible | Zero social presence and no Google reviews widget"
"The Handpie Company","handpie.ca","handpie.ca","canada","albany","Pickles, sauces, and salad dressings","1-10","1M-5M","","","","https://www.linkedin.com/company/the-handpie-company",40,"The Handpie Company, based in Albany, Prince Edward Island, Canada, was founded in 2017 with a focus on creating handheld comfort food using local ing..."
"Atome Bakery","atomebakery.com","atomebakery.com","canada","vancouver","Bread, cake, and related products","1-10","500K-1M","","","","https://www.linkedin.com/company/atome-bakery",40,"Atome Bakery is a French-inspired artisan online bakery delivery service based in Vancouver, British Columbia, and serving customers in British Columb..."
"Atome Bakery","atomebakery.com","atomebakery.com","canada","vancouver","Bread, cake, and related products","1-10","500K-1M","","","","https://www.linkedin.com/company/atome-bakery",40,"Atome Bakery is a French-inspired artisan online bakery delivery service based in Vancouver, British Columbia, and serving customers in British Columb..."
"A&A Greenilla Food Ltd - Moe Myanmar Foods","aagreenillafood.com","aagreenillafood.com","canada","edmonton","Roasted coffee","1-10","1M-5M","","","","https://www.linkedin.com/company/moe-myanmar-foods",40,"We are a food processor in Canada. We provide Authentic Myanmar Foods, Made in Canada. The first commercial producer of delicious and authentic Myanma..."
"La mie bretonne inc.","lamiebretonne.com","lamiebretonne.com","canada","cowansville","Bread, cake, and related products","1-10","1M-5M","","","","https://www.linkedin.com/company/la-mie-bretonne-inc.",40,"La Mie Bretonne is an artisanal bakery offering over 30 varieties of bread, including sourdough and specialty loaves, all made and baked on-site overn..."
"Real Sweets Bakery Corp.","realsweetsbakery.ca","realsweetsbakery.ca","canada","hamilton","Bread, cake, and related products","1-10","1M-5M","","","","https://www.linkedin.com/company/real-sweets-bakery",40,"Real Sweets Bakery Corp. is an Ontario-based wholesale food manufacturer specializing in natural, locally-sourced baked goods. They offer pre-prepared..."
"Konscious Kitchen Inc","konsciouskitchen.com","konsciouskitchen.com","canada","N/A","Bread, cake, and related products","1-10","1M-5M","","","","https://www.linkedin.com/company/the-paleo-palate-cafe",40,"Konscious Kitchen (KK) is a Toronto-based CPG company specializing in baked goods that are 100% Paleo compliant, free of allergens like gluten, dairy,..."
"Konscious Kitchen Inc","konsciouskitchen.com","konsciouskitchen.com","canada","N/A","Bread, cake, and related products","1-10","1M-5M","","","","https://www.linkedin.com/company/the-paleo-palate-cafe",40,"Konscious Kitchen (KK) is a Toronto-based CPG company specializing in baked goods that are 100% Paleo compliant, free of allergens like gluten, dairy,..."
"Bagels Le Trou Montréal","letrou.ca","letrou.ca","canada","N/A","Cookies and crackers","1-10","1M-5M","","","","https://www.linkedin.com/company/bagels-le-trou-montreal",40,"Bagels Le Trou is a Montreal-based traditional bagel bakery known for its hand-rolled fresh bagels made with love and passion. They offer authentic Mo..."
"Cookie Stéfanie","cookiestefanie.com","cookiestefanie.com","canada","montréal","Retail bakeries","1-10","1M-5M","","","","https://www.linkedin.com/company/cookie-st%c3%a9fanie",40,"Cookie Stefanie est situe au cur du Vieux Montreal au 272 Rue Saint-Jacques, Montreal, Quebec, Canada...."
"GLUKOZ","glukoz.ca","glukoz.ca","canada","N/A","Retail bakeries","1-10","500K-1M","","","","https://www.linkedin.com/company/glukoz",40,"Glukoz is a Canadian bakery located in Delson, Quebec, specializing in a variety of pastry products such as pastries, bakery goods, viennoiseries, mac..."
"Leicester air conditioning services ltd","leicester-aircon.co.uk","leicester-aircon.co.uk","united kingdom","leicester","Plumbing, heating, air-conditioning","1-10","1M-5M","","","","https://www.linkedin.com/company/leicester-air-conditioning-services-ltd-uk",40,""
"Delta T Installations Ltd","deltatinstallations.co.uk","deltatinstallations.co.uk","united kingdom","grimsby","Plumbing, heating, air-conditioning","1-10","1M-5M","","","","https://www.linkedin.com/company/delta-t-installations",40,""
"On Tap","ontapecommerce.com","ontapecommerce.com","united kingdom","london","Plumbing, heating, air-conditioning","1-10","1M-5M","","","","https://www.linkedin.com/company/on-tap-old",40,"On Tap is a company based out of 9 Devonshire Square, London, England, United Kingdom...."
"East Air Conditioning Services Limited","eastairconditioning.co.uk","eastairconditioning.co.uk","united kingdom","sawtry","Plumbing, heating, air-conditioning","1-10","1M-5M","","","","https://www.linkedin.com/company/east-air-conditioning-services-ltd",40,""
"RSSAC Ltd","rssac.co.uk","rssac.co.uk","united kingdom","hereford","Office equipment","1-10","500K-1M","","","","https://www.linkedin.com/company/rssac-limited",40,"RSSAC LIMITED is a business supplies and equipment company based out of UNIT 13B THORN BUSINESS PARK ROTHERWAS, HEREFORD, United Kingdom...."
"Construction Supervisory Services Ltd","csups.com","csups.com","united kingdom","newtownabbey","Single-family housing construction","1-10","1M-5M","","","","https://www.linkedin.com/company/construction-supervisory-services-ltd",40,""
"Welders Inc Ltd","weldersinc.co.uk","weldersinc.co.uk","united kingdom","basingstoke","Welding repair","1-10","500K-1M","","","","https://www.linkedin.com/company/welders-inc-ltd",40,""
"Doveley Air Ltd","doveleyair.co.uk","doveleyair.co.uk","united kingdom","rochester","Plumbing, heating, air-conditioning","1-10","1M-5M","","","","https://www.linkedin.com/company/doveley-air-limited",40,""
"Macror Plumbing Ltd.","macrorplumbing.co.uk","macrorplumbing.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/macror-plumbing-ltd",40,""
"Tarite Limited","tarite.co.uk","tarite.co.uk","united kingdom","birmingham","Single-family housing construction","1-10","1M-5M","","","","https://www.linkedin.com/company/tarite-limited",40,""
"Procool Services Limited","procoolservices.co.uk","procoolservices.co.uk","united kingdom","solihull","Plumbing, heating, air-conditioning","1-10","1M-5M","","","","https://www.linkedin.com/company/procool-services-limited",40,""
"TM Hughes & Son Gas Services Ltd","tmhughesandson.uk","tmhughesandson.uk","united kingdom","south woodham ferrers","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/tm-hughes-son-gas-services-ltd",40,""
"Marross Ltd","marross.co.uk","marross.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/marross-limited",40,""
"Thorne Rainwater Systems Ltd","thornerws.com","thornerws.com","united kingdom","cardiff","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/thorne-rainwater-systems-limited",40,""
"Ideal Climate Limited","idealclimate.co.uk","idealclimate.co.uk","united kingdom","witham","Plumbing, heating, air-conditioning","1-10","1M-5M","","","","https://www.linkedin.com/company/ideal-climate-limited",40,""
"Boiler Installation","boilerinstallationslondon.co.uk","boilerinstallationslondon.co.uk","united kingdom","london","Single-family housing construction","1-10","1M-5M","","","","https://www.linkedin.com/company/boiler-installation",40,"At Boiler installations London we provide a full range of Heating and Plumbing Services. Boiler installation London, are a organisation that carries o..."
"Fans4less Ltd","fans4less.co.uk","fans4less.co.uk","united kingdom","earlswood","Plumbing, heating, air-conditioning","1-10","1M-5M","","","","https://www.linkedin.com/company/fans4less-limited",40,""
"Broadley Developments Limited","broadleydevelopments.co.uk","broadleydevelopments.co.uk","united kingdom","southport","Single-family housing construction","1-10","1M-5M","","","","https://www.linkedin.com/company/broadley-developments-limited",40,""
"Brewins Plumbers","brewinsplumbers.co.uk","brewinsplumbers.co.uk","united kingdom","broughton astley leicester","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/brewins-plumbers",40,""
"White Rose Exhibitions Ltd","whiterose-exhibitions.co.uk","whiterose-exhibitions.co.uk","united kingdom","cleckheaton","Single-family housing construction","1-10","1M-5M","","","","https://www.linkedin.com/company/white-rose-exhibitions-limited",40,""
"MEASHAM HEATING AND AIR-CONDITIONING LIMITED","measham.co.uk","measham.co.uk","united kingdom","walsall","Plumbing, heating, air-conditioning","1-10","1M-5M","","","","https://www.linkedin.com/company/measham-heating-and-air-conditioning-limited",40,""
"Riteway Plumbing & Heating Services Ltd","ritewayplumbing.co.uk","ritewayplumbing.co.uk","united kingdom","cannock","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/riteway-plumbing-and-heating-services-limited",40,""
"Franklin Plumbing & Heating","franklinplumbing.co.uk","franklinplumbing.co.uk","united kingdom","broad oak","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/franklin-plumbing-heating",40,""
"Holland Contracts Ltd","hollandcontracts.co.uk","hollandcontracts.co.uk","united kingdom","tamworth","Single-family housing construction","1-10","1M-5M","","","","https://www.linkedin.com/company/holland-contracts-ltd",40,""
"Polar Refrigeration Hire Ltd","polaronline.co.uk","polaronline.co.uk","united kingdom","ashbourne","Plumbing, heating, air-conditioning","1-10","1M-5M","","","","https://www.linkedin.com/company/polar-refrigeration-hire-limited",40,""
"Leetech Gas Engineers Ltd","leetechgasengineers.co.uk","leetechgasengineers.co.uk","united kingdom","newport","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/leetech-gas-engineers-ltd",40,""
"Prism Air Conditioning Ltd","prism-ac.co.uk","prism-ac.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/prism-air-conditioning-limited",40,""
"Oxford Fabrication Ltd","oxfab.co.uk","oxfab.co.uk","united kingdom","bicester","Welding repair","1-10","500K-1M","","","","https://www.linkedin.com/company/oxford-fabrication-limited",40,""
"Ecoflue Ltd","ecoflue-stoves.co.uk","ecoflue-stoves.co.uk","united kingdom","beccles","Building maintenance services, nec","1-10","500K-1M","","","","https://www.linkedin.com/company/ecoflue-limited",40,""
"Leeva Plumbing & Heating Ltd","leevaplumbing.co.uk","leevaplumbing.co.uk","united kingdom","ripley","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/leeva-plumbing-and-heating-limited",40,""
"Homecare Systems Ltd","homecaresystems.biz","homecaresystems.biz","united kingdom","donaghmore","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/homecare-systems-ltd",40,""
"ATP MAINTENANCE LTD","atpheatingandplumbing.co.uk","atpheatingandplumbing.co.uk","united kingdom","bolton","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/atp-maintenance-limited",40,""
"Optimal Decorating Contractors Limited","optimaldc.co.uk","optimaldc.co.uk","united kingdom","gateshead","Single-family housing construction","1-10","1M-5M","","","","https://www.linkedin.com/company/optimal-decorating-contractors-limited",40,""
"Direct Air Conditioning & Refrigeration Co Ltd","airconditioningsunderland.co.uk","airconditioningsunderland.co.uk","united kingdom","wallsend","Plumbing, heating, air-conditioning","1-10","1M-5M","","","","https://www.linkedin.com/company/direct-air-conditioning-&-refrigeration-co-ltd",40,""
"Arthur Padgett Ltd.","arthurpadgett.com","arthurpadgett.com","united kingdom","nelson","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/arthur-padgett-limited",40,""
"Brazendale Heating And Maintenance Limited","brazendaleheating.co.uk","brazendaleheating.co.uk","united kingdom","northwich","Plumbing, heating, air-conditioning","1-10","1M-5M","","","","https://www.linkedin.com/company/brazendale-heating-and-maintenance-limited",40,""
"BMC Mechanical","bmcmechanical.com","bmcmechanical.com","united kingdom","magherafelt","Plumbing, heating, air-conditioning","1-10","1M-5M","","","","https://www.linkedin.com/company/bmc-mechanical",40,"BMC Mechanical is a company based out of Magherafelt, Northern Ireland, United Kingdom...."
"Eco Air Control","ecoaircontrol.co.uk","ecoaircontrol.co.uk","united kingdom","derby","Plumbing, heating, air-conditioning","1-10","1M-5M","","","","https://www.linkedin.com/company/eco-air-control",40,""
"Shower Solutions Ltd","showeringsolutions.co.uk","showeringsolutions.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/shower-solutions-limited",40,""
"Stewart Ventilation Services Ltd","stewartvent.com","stewartvent.com","united kingdom","glasgow","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/stewart-ventilation-services-limited",40,""
"ABERDEEN PLUMBING SERVICES LIMITED","aberdeenpages.co.uk","aberdeenpages.co.uk","united kingdom","aberdeen","Plumbing, heating, air-conditioning","1-10","1M-5M","","","","https://www.linkedin.com/company/aberdeen-plumbing-services-limited",40,""
"Docwra Property Management Ltd","docwra.co.uk","docwra.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/docwra-property-management-limited",40,""
"Aston Building & Conservation Ltd","astonbuilding.com","astonbuilding.com","united kingdom","didcot","Single-family housing construction","1-10","1M-5M","","","","https://www.linkedin.com/company/aston-building-&-conservation-ltd",40,""
"HeatPlumb Solutions","heatplumbsolutions.co.uk","heatplumbsolutions.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/heatplumb-solutions-limited",40,""
"L Fergusson Builders Limited","lfergussonbuilders.co.uk","lfergussonbuilders.co.uk","united kingdom","newcastle upon tyne","Single-family housing construction","1-10","1M-5M","","","","https://www.linkedin.com/company/l-fergusson-builders-limited",40,""
"Eco Smart Systems Limited","ecosmartsystems.co.uk","ecosmartsystems.co.uk","united kingdom","stourbridge","Single-family housing construction","1-10","1M-5M","","","","https://www.linkedin.com/company/eco-smart-systems-limited",40,""
"Dunkirk Developments Ltd","dunkirkdevelopmentsltd.co.uk","dunkirkdevelopmentsltd.co.uk","united kingdom","corby","Single-family housing construction","1-10","1M-5M","","","","https://www.linkedin.com/company/dunkirk-developments-ltd",40,""
"Viva Gas Ltd","vivagas.co.uk","vivagas.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Jackson Architects Ltd","jacksonarchitects.co.uk","jacksonarchitects.co.uk","united kingdom","N/A","Single-family housing construction","1-10","500K-1M","","","","",40,""
"Soundweld","soundweld.co.uk","soundweld.co.uk","united kingdom","N/A","Welding repair","1-10","0-500K","","","","https://www.linkedin.com/company/soundweld",40,""
"Direct Plumbing & Heating Services","directph.co.uk","directph.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"ABC Hockwell Ring maintenace","naheatemergencyplumbernewtonabbot.co.uk","naheatemergencyplumbernewtonabbot.co.uk","united kingdom","N/A","Single-family housing construction","1-10","500K-1M","","","","",40,""
"Pipeline Technique","pipeline-technique.com","pipeline-technique.com","united kingdom","N/A","Welding repair","1-10","0-500K","","","","",40,""
"A P M Plumping & Heating","apm-plumbing-heating.co.uk","apm-plumbing-heating.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Mayday Plumbing & Heating","maydayservice.com","maydayservice.com","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Beynons Plumbing & Heating","beynonsplumbingandheating.co.uk","beynonsplumbingandheating.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Tor Plumbing Services","torplumbingservices.co.uk","torplumbingservices.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"K Redmond Plumbing & Heating","kredmondplumbing.co.uk","kredmondplumbing.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Jet Fast Plumbers","jetfastplumbers.co.uk","jetfastplumbers.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Complete Carpentry & Plumbing","ccpbathrooms.com","ccpbathrooms.com","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Aquaheat","aquaheat.net","aquaheat.net","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"M H Plumbing & Heating","plumbersincarmarthenshire.co.uk","plumbersincarmarthenshire.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"East Coast Cooling","eastcoastcooling.co.uk","eastcoastcooling.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Urban Gas Fitters","urbangasfitters.com","urbangasfitters.com","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Mane Services Ltd","maneservices.co.uk","maneservices.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"NRM Plumbing And Heating","nrmplumbingandheating.co.uk","nrmplumbingandheating.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Hodson Contracting","hodsonbuildcontracting.co.uk","hodsonbuildcontracting.co.uk","united kingdom","N/A","Single-family housing construction","1-10","500K-1M","","","","",40,""
"AWPS - HOMECARE","awps.ltd","awps.ltd","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Able Plumbing","ableplumbinganddrainage.co.uk","ableplumbinganddrainage.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"All Metal Welding Ltd","amwelding.co.uk","amwelding.co.uk","united kingdom","N/A","Welding repair","1-10","0-500K","","","","",40,""
"SPH Plumbing & Heating","sphplumbingandheating.co.uk","sphplumbingandheating.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Keith heating and plumbing","freeheatwales.co.uk","freeheatwales.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Cool Climate","coolclimate.co.uk","coolclimate.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"safe flame wales","safeflamewales.com","safeflamewales.com","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"PGM Heating And Plumbing","pgmplumbingandheating.co.uk","pgmplumbingandheating.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"We Fix Now","wefixnow.com","wefixnow.com","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Hope Plumbing & Heating Services Ltd","hopeplumbing.co.uk","hopeplumbing.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","https://www.linkedin.com/company/hope-pluming-&-heating-services-ltd",40,""
"DB Plumbing","d-bplumbing.co.uk","d-bplumbing.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Danimak","danimak.com","danimak.com","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Thomson Services","thomsonservicesltd.com","thomsonservicesltd.com","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"ABC Plumbing","shropshireplumber.com","shropshireplumber.com","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"M & A Air Conditioning Ltd","aircon-online.co.uk","aircon-online.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Commercial Cooling Specialists","comcooling.co.uk","comcooling.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Local Bromley Plumber","plumberinbromley.co.uk","plumberinbromley.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
"Heidi Air Conditioning","heidi-air-conditioning.co.uk","heidi-air-conditioning.co.uk","united kingdom","N/A","Plumbing, heating, air-conditioning","1-10","500K-1M","","","","",40,""
